City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,34.83,90,56,35.23,GS,1683474397
1,salalah,17.0151,54.0924,84.29,74,0,8.05,OM,1683474397
2,port isabel,26.0734,-97.2086,87.03,75,0,17.27,US,1683474397
3,sinop,41.7711,34.8709,49.66,95,100,5.77,TR,1683474398
4,rosario,-32.9468,-60.6393,70.83,47,0,6.91,AR,1683474266
5,puerto natales,-51.7236,-72.4875,52.25,54,75,9.22,CL,1683474123
6,bilibino,68.0546,166.4372,13.44,100,98,2.39,RU,1683474398
7,inhambane,-23.865,35.3833,72.66,77,0,5.93,MZ,1683474399
8,blackmans bay,-43.0167,147.3167,36.52,87,28,6.31,AU,1683474399
9,kroya,-7.6331,109.2461,79.63,85,99,5.53,ID,1683474399
10,katsuren-haebaru,26.3369,127.8719,72.37,96,40,13.8,JP,1683474400
11,palmerston,-12.486,130.9833,82.38,54,100,10.36,AU,1683474400
12,bar,49.0772,27.6826,42.28,85,100,9.62,UA,1683474400
13,holualoa,19.6228,-155.9522,69.64,93,0,5.75,US,1683474400
14,antonio enes,-16.2325,39.9086,74.3,72,3,7.11,MZ,1683474400
15,waitangi,-43.9535,-176.5597,57.81,95,100,1.99,NZ,1683474401
16,hami,42.8,93.45,56.1,22,5,8.23,CN,1683474401
17,klyuchi,52.2667,79.1667,66.0,29,0,5.77,RU,1683474191
18,lebu,-37.6167,-73.65,57.24,73,73,10.89,CL,1683474113
19,vila franca do campo,37.7167,-25.4333,66.61,79,90,13.98,PT,1683474231
20,cole harbour,44.6724,-63.4751,61.18,55,49,18.41,CA,1683474402
21,lebanon,36.2081,-86.2911,80.78,70,75,10.36,US,1683474297
22,ushuaia,-54.8,-68.3,49.66,66,20,3.44,AR,1683474402
23,samarinda,-0.5,117.15,75.58,98,98,2.57,ID,1683474403
24,talnakh,69.4865,88.3972,1.36,97,17,3.83,RU,1683474403
25,tolanaro,-25.0319,46.9987,75.27,83,20,20.71,MG,1683474403
26,matoury,4.8483,-52.3317,87.76,70,40,16.11,GF,1683474253
27,albany,42.6001,-73.9662,71.89,37,11,3.0,US,1683474187
28,iqaluit,63.7506,-68.5145,24.53,73,40,21.85,CA,1683474158
29,bastia,42.6667,9.3333,71.4,80,75,2.3,FR,1683474292
30,twon-brass,4.3151,6.2418,83.98,73,39,8.23,NG,1683474404
31,afsin,38.2477,36.914,58.01,59,92,7.63,TR,1683474404
32,ilulissat,69.2167,-51.1,32.02,93,75,2.3,GL,1683474404
33,margaret river,-33.95,115.0667,64.98,52,94,17.96,AU,1683474404
34,nemuro,43.3236,145.575,38.37,74,100,4.0,JP,1683474296
35,khilok,51.3674,110.4676,36.88,58,3,1.74,RU,1683474405
36,tambura,5.6,27.4667,79.41,66,98,12.1,SS,1683474405
37,mugia,43.1041,-9.2179,71.17,67,70,4.85,ES,1683474405
38,port-aux-francais,-49.35,70.2167,39.18,64,47,31.25,TF,1683474405
39,motala,58.5371,15.0365,59.94,38,16,2.89,SE,1683474405
40,adamstown,-25.066,-130.1015,71.98,64,98,18.07,PN,1683474406
41,tyukhtet,56.5389,89.3011,57.85,54,24,5.64,RU,1683474406
42,edinburgh of the seven seas,-37.0676,-12.3116,58.91,66,30,7.9,SH,1683474111
43,talakan,50.3167,130.3667,47.16,39,5,4.97,RU,1683474406
44,carnarvon,-24.8667,113.6333,72.79,68,98,16.49,AU,1683474406
45,kodiak,57.79,-152.4072,35.11,80,100,12.66,US,1683474407
46,badger,64.8,-147.5333,33.67,83,40,3.44,US,1683474407
47,hermanus,-34.4187,19.2345,64.8,69,22,13.58,ZA,1683474407
48,amos,48.5669,-78.1162,57.02,39,100,7.31,CA,1683474178
49,hawaiian paradise park,19.5933,-154.9731,67.51,93,100,8.05,US,1683474153
50,usinsk,65.9939,57.5281,23.11,93,100,18.41,RU,1683474407
51,bereznik,62.8551,42.7072,38.7,56,94,7.34,RU,1683474408
52,constantia,44.1833,28.65,57.88,78,15,11.1,RO,1683474408
53,invercargill,-46.4,168.35,47.01,95,100,3.0,NZ,1683474408
54,turabah,21.2141,41.6331,91.49,11,7,10.92,SA,1683474408
55,turaif,31.6725,38.6637,79.05,19,40,9.22,SA,1683474409
56,dudinka,69.4058,86.1778,0.68,99,52,5.97,RU,1683474409
57,avarua,-21.2078,-159.775,77.05,94,97,5.75,CK,1683474409
58,college,64.8569,-147.8028,33.75,84,40,3.44,US,1683474409
59,kruisfontein,-34.0033,24.7314,61.88,75,100,4.47,ZA,1683474409
60,el granada,37.5027,-122.4694,58.19,80,0,4.61,US,1683474409
61,kannur,11.8675,75.3576,81.93,78,84,8.72,IN,1683474410
62,sinabang,2.4803,96.3801,77.97,89,100,7.96,ID,1683474410
63,khandud,36.9513,72.318,32.32,72,98,4.41,AF,1683474410
64,puerto ayora,-0.7393,-90.3518,87.76,92,91,5.99,EC,1683474410
65,arraial do cabo,-22.9661,-42.0278,80.56,73,75,8.05,BR,1683474410
